Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Hourly,Employer Provided,Salary,Min Salary,Max Salary,Avg Salary,Location State,Company,Company Age,Python,R Studio,AWS,ML,Tableau,SQL,Excel,Spark,Apache,API
Marketing Data Analyst,$65 - $75 Per Hour(Employer est.),"Job Description:
Department/Product Overview:
Investor’s Business Daily is looking to hire a Marketing Analyst to work with our Marketing team in Los Angeles. The Marketing Analyst will collaborate with teammates on the marketing team, analytics team, and with other departments to drive growth of our digital subscriptions through increased acquisition and retention rates.
Position Title:
Marketing Analyst
Position Location:",3.7,"Dow Jones
3.7","Los Angeles, CA",5001 to 10000 Employees,1882,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),1,0,65 - 75 ,65,75,146.16,CA,dow jones,139,0,0,0,0,0,0,0,0,0,0
Data Quality Analyst,$65 - $75 Per Hour(Employer est.),"Who we are: At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives. We’re a purpose-driven company, and our beliefs are the foundation of how we conduct business every day. We’re guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Collectively, these values inspire us to work together as One Team with our customers at the center of everything we do, and to take care of ourselves, each other, and the communities in which we live and work. We challenge the status quo, ask questions, and find solutions. Join us as we enable the hopes, dreams, and ambitions of millions of people around the world.
Job Description Summary: We are helping rethink how we use data at PayPal to fulfill the needs of our customers (both internal and external). We drive creation of delightful, frictionless and complaint payment experiences while maximizing the value of our data. Join the Enterprise Data Governance team at PayPal. In this role you will have an opportunity to define, orchestrate, and enable critical data management functions across multiple business units within PayPal. You will deliver value through the power of data and data driven insights. As a Data Quality Analyst, you will have opportunity to participate in the creation and implementation of our enterprise-wide data quality framework, processes, procedures, and guidelines for the company. Given the criticality of data quality, this role is essential to building out an enterprise-wide sustainable data quality program. This position requires significant amount of collaboration across all business areas within PayPal Core and its adjacencies.",4.1,"PayPal
4.1","Scottsdale, AZ",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),1,0,65 - 75 ,65,75,146.16,AZ,paypal,23,0,0,0,0,0,0,0,0,0,0
Data Analyst - Remote Option,$65 - $75 Per Hour(Employer est.),"Acima Credit (Acima) based in Draper, Utah is a young and dynamic leasing company that provides consumers financing options for life necessities that otherwise would not be available. We help with financing options from tires/wheels to furniture and appliances. Acima blends the use of innovative online technology with a fast and easy application process for thousands of retailers nationwide. Customers love us because we make the impossible possible. Retailers love us because we make it easy for them.

Acima is growing at a tremendous rate. Recognized as one of the fastest growing companies, (by the Mountain West Capital Network and the Utah Business Magazine) we need awesome people to continue to propel that growth. Here you'll find a place where you can learn, progress and grow professionally. You'll be challenged to think creatively, work hard and make smart decisions.",4.1,"Acima Credit
4.1","Draper, UT",501 to 1000 Employees,2013,Company - Private,Lending,Finance,Unknown / Non-Applicable,1,0,65 - 75 ,65,75,146.16,UT,acima credit,8,0,0,0,0,0,0,0,0,0,1
Data Analyst Supporting the USAO,$65 - $75 Per Hour(Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA Federal, a rapidly growing joint venture owned by trusted solutions providers SAIC and Amentum, has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the United States Attorney's Office (USAO).

A Data Analyst performs, but is not limited to the following duties:

Provide organization and management of case files
Review data (completeness of information, proper execution)

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Mobile, AL",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),1,0,65 - 75 ,65,75,146.16,AL,fsa federal,17,0,0,0,0,0,0,0,0,0,1
Data Analyst Supporting the DEA,$65 - $75 Per Hour(Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Compass Strategy Solutions (CSS) specializes in cultivating tactical and strategic intelligence personnel, financial analysts, and forensic accountants, to support law enforcement efforts domestically and overseas. CSS has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the Drug Enforcement Administration (DEA).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

The Drug Enforcement Administration (DEA) is responsible for conducting national and international investigations targeting global drug trafficking networks and drug-related terrorism involved in the illegal growing, manufacturing, or distribution of controlled substances appearing in or destined for illicit traffic in the United States.A component of DEA's strategic mission is the use of the Asset Forfeiture Program,implementing major investigative strategies against drug networks and cartels,resulting in significant seizure and forfeiture activities.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Arlington, VA",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),1,0,65 - 75 ,65,75,146.16,VA,fsa federal,17,0,0,0,0,0,0,0,0,0,0
Business Analyst (Remote),$65 - $75 Per Hour(Employer est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description
Analyze and document new and existing business processes to validate a solution that supports project objectives
Develop and manage a detailed business and functional requirements
Provide platform-based recommendations for site enhancements",3.4,"Michael Page
3.4","Atlanta, GA",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,1,0,65 - 75 ,65,75,146.16,GA,michael page,-1,0,0,0,0,0,0,0,0,0,0
"Online Data Analyst - Tennessee, USA",$65 - $75 Per Hour(Employer est.),"Company Info:
We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more.
Position Open:
The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world.",3.8,"TELUS International AI Inc.
3.8","Nashville, TN",10000+ Employees,-1,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,1,0,65 - 75 ,65,75,146.16,TN,telus international ai ,-1,0,0,0,1,0,0,0,0,0,0
Data Support Analyst,$65 - $75 Per Hour(Employer est.),"Sanametrix, Inc. is a fast-growing small business headquartered in the Washington DC area focused on providing custom IT solutions for our clients. We are looking for a Data Support Analyst to join our Sanametrix team. The Partner Support Center (PSC) is the first level of support and response for our clients. The Analyst will troubleshoot and resolve advanced application and content related issues for a national web-based survey collection.
The incumbent will work closely with fellow support center team members, managers, and software engineers to resolve issues reported by end users. The Analyst will research and develop solutions to unresolved issues and provide troubleshooting and expertise to assist with customer ticket management and resolution.
This a full time position with benefits including medical, dental & PTO. The contract is started on November 1, 2021 and will end March 31, 2022. This position will be done remotely with training.",3.1,"Sanametrix
3.1","Washington, DC",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),1,0,65 - 75 ,65,75,146.16,DC,sanametrix,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst Supporting the FBI,$65 - $75 Per Hour(Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

EnProVera, owned and operated by government veterans with extensive backgrounds in Homeland Security, Law Enforcement, the Military, and the Intelligence Community has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the Federal Bureau of Investigation (FBI).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Applicants with an Active TS Clearance preferred

Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

The mission of the Federal Bureau of Investigation (FBI) is to protect the American people and uphold the Constitution of the United States. FBI investigates a broad range of criminal violations, integrating the use of asset forfeiture into its overall strategy to eliminate targeted criminal enterprises. The FBI has successfully used asset forfeiture in White Collar Crime, Organized Crime, Drug, Violent Crime and Terrorism investigations.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Manassas, VA",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),1,0,65 - 75 ,65,75,146.16,VA,fsa federal,17,0,0,0,0,0,0,0,0,0,0
Data Analyst (COE),$65 - $75 Per Hour(Employer est.),"Location:
Las Vegas, Nevada
Become one of the stars behind The SHOW and become part of the world’s most powerful entertainment brands. Our Company has one exciting mission: To entertain the human race.
PRIMARY PURPOSE:
The Operation Performance Analyst will report to the Finance Manager and assist with the analytical support of the company’s Casino Marketing operations and executive management. This role will execute ongoing and ad hoc analyses and special projects designed to improve the efficiency with which the analytical support function of the department is carried out. Additional responsibilities include the annual budgeting process for all Casino Marketing departments for MGM Resorts International.",3.5,"MGM Resorts International
3.5","Las Vegas, NV",10000+ Employees,2001,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,$10+ billion (USD),1,0,65 - 75 ,65,75,146.16,NV,mgm resorts international,20,0,0,0,0,0,0,0,0,0,0
"Senior Analyst, People Data",$65 - $75 Per Hour(Employer est.),"About the Team
At DoorDash, people are our most important asset. We started the People Analytics team in 2018 to help our leaders make more informed decisions on identifying and attracting talent and supporting the development and retention fo great employees. We're looking for a People Data Analyst to help us scale our analytics alongside DoorDash's enormous growth. Come shape an excellent People Analytics team at DoorDash.
About the Role
DoorDash is looking for an experienced analyst to join our People Analytics team. We're a data-driven organization, empowering local economies and our people to do the best work of their careers. You will seek data-driven insights to attract and develop great people to power and grow DoorDash. You will support and scale our people reporting within the People Team. You will work with a team of analysts and engineers to develop the tools and insights for our people and decision-makers. You'll be an advisor, consultant, project manager, technology advocate, data analyst, engineer, and security/privacy advocate.",3.9,"DoorDash
3.9","San Francisco, CA",1001 to 5000 Employees,2013,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,1,0,65 - 75 ,65,75,146.16,CA,doordash,8,0,0,0,0,0,0,1,0,0,0
Data Analyst,$60K - $110K (Employer est.),"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1.0,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1,0,0,60 - 110 ,60,110,85.0,CT,battea - class action services,-1,0,0,0,0,0,0,0,0,0,0
HEOR Data Analyst,$60K - $110K (Employer est.),"Lead/Manager, Data Analytics - HEOR
The goal of this position is to establish data analytic expertise and capability within US-HEOR. The Director will work in collaboration with HEOR staff members to formulate analysis plans of research ideas using various databases to meet and support their needs in various therapeutic areas. The Director’s ultimate goal in the course of data analysis is to support HEOR staff in capturing the economic and humanistic value of various Ipsen’s products throughout the various stages of development in three therapeutic areas : Oncology, Neuroscience, and Rare Diseases. The data generation philosophy should address issues relating to various stakeholders (patients, payers, and society).
The Director of data analytics will work closely with HEOR staff to design best appropriate research methodology and test hypothesis of various research ideas using a given database, develop the analytical plan, and statistical analysis for each research project. * The Director of data analytics should have a commanding expertise/skill in programming and statistical analysis including knowledge of standard statistical software and packages (SAS, R, ..etc) * The Director should be able to guide HEOR staff to best methodology to use on databases to answer desired research questions. * The Director of Data Analytics - HEOR, will conduct methodologically sound and comprehensive feasibility studies for potential outcomes research ideas for priority HEOR evidence needs in collaboration with internal and external researchers. * The Director should be able to have project management skills. * The Director should be able to conduct data analysis using primary databases and secondary data sources such as healthcare claims, electronic medical record databases or publicly available datasets for HEOR projects * The Director should be able to identify the best sources of databases that would be most suitable for a specific research idea.",-1.0,Apercu Talent Services,Remote,-1,-1,-1,-1,-1,-1,0,0,60 - 110 ,60,110,85.0,Remote,apercu talent services,-1,0,0,0,0,0,0,0,0,0,0
"Data Analyst, Population Health",$60K - $110K (Employer est.),"Data Analyst, Population Health
HDAI is a well-funded, high-growth, and ambitious startup that is using artificial intelligence to provide clinical and operational guidance that supports population health and clinical decision-making. We are partnering with premier health systems to deploy actionable AI, with a particular focus on delivering insights that support population health initiatives.
We are looking for a statistically savvy, technically adept Data Analyst, Population Health to analyze de-identified healthcare claims for more than 100 million people, primarily in a SAS environment. The right candidate will work closely with our data science, product, and customer-facing teams to generate data sets derived from healthcare billing records that provide insights for clinical and operational leaders at leading organizations around the country.
Key responsibilities",-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1,-1,-1,-1,0,0,60 - 110 ,60,110,85.0,MA,health data analytics institute,-1,0,0,0,0,0,0,0,0,0,0
Data Analyst,$60K - $110K (Employer est.),"About VGW
We are pioneers in online gaming, with talented people and innovative, patented technology. We own and operate several market-leading brands in the largest markets in the world and have about 800 team members globally, all committed to building something amazing, pushing our boundaries and having fun in the process. We’ve been disrupting online social casino and poker gaming since 2010 and bringing fun and excitement to millions of customers. At VGW, we have a modern approach to getting work done and a focus on creating an environment where amazing people can do amazing work. That means giving you the flexibility you need, providing spaces that will keep you comfortable and finding opportunities for you to keep learning and growing.
About the Role
The Data and Analytics team is responsible for leading the data-driven culture at VGW. We work alongside the business to provide analytics that improve and monitor our products to drive business growth. This is an exciting opportunity to combine both your insights and analytical skills with elements of data science and modeling to analyze payments and fraud data to better understand what is driving our position and how to improve it. Using your detailed domain and technical knowledge you will be required to help solve the right business problems, as well as building fast-fail proof-of-concept data products to test new ideas.",3.4,"VGW
3.4",Remote,501 to 1000 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,60 - 110 ,60,110,85.0,Remote,vgw,11,0,0,0,0,0,0,0,0,0,0
Data Analyst,$60K - $110K (Employer est.),"Position: Data Analyst - Washington, DC or remote
Reports to: Senior Director of Data Services
Organization Description: The Voter Participation Center (VPC) is the nation’s largest non-partisan, non-profit organization dedicated to registering and mobilizing voters from the New American Majority (NAM) – people of color, unmarried women and young people – who make up the majority of the potential electorate but have been historically underrepresented in political participation and power. Using direct mail, digital and social media outreach, guided by rigorous data science and experimentation, and working closely with a multitude of partner organizations, VPC connects with millions of voters each year, building the foundation for a more representative democracy.
Over 18 years VPC has helped more than 5.7 million people register to vote. In 2020, as COVID-19 shut down most forms of in-person voter contact, VPC helped more than 4.6 million people apply to vote by mail & cast ballots, registered more than 1.6 million people, and assisted millions of voters in voting early and safely to reduce pressures on polling places on
Election Day.",-1.0,The Voter Participation Center / Center for Voter Information,"Washington, DC",-1,-1,-1,-1,-1,-1,0,0,60 - 110 ,60,110,85.0,DC,the voter participation center / center for voter information,-1,0,0,0,0,0,0,0,0,0,0
Network Data Analyst (Remote),$60K - $110K (Employer est.),"Take your career to the next level with eXcell. We offer jobs with Fortune 1000 companies nationwide AND invest in your career development using our leading-edge training program.

We have a new opportunity for a remote Network Data Analyst to join our team, working Monday through Friday. Candidate will be supporting teams who sit within the East Coast (EST) time zone.

Scope of Activity:
Analyst will VPN into switches and routers to run a script using an SOP and checklist to validate they are configured correctly
Analyzing and monitoring network performance
Configuring hardware and software to optimize network communication",4.0,"eXcell
4.0","Miami, FL",201 to 500 Employees,2001,Subsidiary or Business Segment,IT Services,Information Technology,$25 to $50 million (USD),0,0,60 - 110 ,60,110,85.0,FL,excell,20,0,0,0,0,0,0,1,0,0,0
Data Science Analyst -105419,$60K - $110K (Employer est.),"Data Science Analyst
Talent Management - Quality Excellence & Data Analytics
Job ID# 105419
Core Responsibilities
Learning & Inclusion is seeking a Data Science Analyst to support our advanced data analytics capabilities. This position will be responsible for partnering with team members to develop analytical business solutions, using a variety of data and visualization tools to build and implement predictive models, and presenting complex analysis in clear and understandable terms.",4.0,"Consolidated Edison Company of New York, Inc.
4.0","New York, NY",10000+ Employees,1997,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),0,0,60 - 110 ,60,110,85.0,NY,consolidated edison company of new york,24,0,0,0,0,0,0,1,0,0,0
Data Analyst - Medicaid,$60K - $110K (Employer est.),"Peraton Overview

Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our 22,000 employees do the cant be done, solving the most daunting challenges facing our customers.


Responsibilities








Colorado Salary Minimum: $54,558.40
Colorado Salary Maximum:$116,625.60

The estimate displayed represents the typical salary range for this position, and is just one component of Peraton's total compensation package for employees. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Peraton provides a variety of benefits to employees.",3.7,"Peraton
3.7","Chantilly, VA",10000+ Employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD),0,0,60 - 110 ,60,110,85.0,VA,peraton,4,0,0,0,0,0,0,0,0,0,0
Production Data Analyst,$60K - $110K (Employer est.),"A leading educational institution is looking for a junior Production Data Analyst with strong analytical, communication, and time management skills. The selected consultant will interface with clients, collaborate with colleagues and be responsible for managing the issue queue.
The ideal candidate has experience working with clients/end-users, demonstrates project management/prioritization experience or is familiar with queue-based work, and has some exposure to SQL, JIRA, and/or other technical workflow and querying tools.
This role is based in Washington, DC, the return to office plan is in flex but it will likely be 3 days on site and 2 remote once this role gets started. This is a contract position set to run through late 2023.
Job Description:",4.9,"QED National
4.9","Washington, DC",51 to 200 Employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),0,0,60 - 110 ,60,110,85.0,DC,qed national,28,0,0,0,0,0,1,0,0,0,0
Data Analyst,$60K - $110K (Employer est.),"Headquartered in Arlington, Virginia, IntraFi Network (formerly Promontory Interfinancial Network) – the nation’s largest deposit allocation service provider and the inventor of reciprocal deposits – provides dynamic, all-weather balance sheet and liquidity management solutions to help financial institutions grow franchise value. The company, chosen by thousands of banks since its founding nearly two decades ago, has assembled the largest bank network of its kind. Its solutions help institutions to acquire high-value, local relationships; purchase funding; and reduce collateralization costs.
At IntraFi Network, we prosper by working hard in an open and creative environment. Our efforts to create and maintain a culture that values our people have led us to be designated among the top fintech companies to work for by American Banker. Promontory Network has also been recognized as one of the best places to work by the Washington Post’s Top Workplaces and the Washington Business Journal’s Best Places to Work. Our company is also recognized among ’s lists of Best Workplaces—Small & Medium Businesses and Best Workplaces in Financial Services and Insurance.",4.8,"IntraFi Network
4.8","Arlington, VA",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,0,0,60 - 110 ,60,110,85.0,VA,intrafi network,19,0,0,0,0,0,0,0,0,0,0
Sales Operations Analyst (Open To Remote),$60K - $110K (Employer est.),"Your Job
The Sales Operations Analyst will support our fast-growing sales teams. They will be responsible for
learning the ins and outs of each major Indeed business unit, play a critical role in building relationships
with the senior leadership team, and drive forward initiatives that will help us accelerate sales revenue
and efficiency. The ideal candidate is someone who has a strong desire to identify problems and use data
to find actionable solutions. They are self motivated, organized, and can work comfortably in a fast paced
and ever changing environment.


preferred
etc.",4.3,"Indeed
4.3","Austin, TX",10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),0,0,60 - 110 ,60,110,85.0,TX,indeed,17,0,0,0,0,0,0,0,0,0,0
Junior Data Analytics Analyst,$60K - $110K (Employer est.),"Join our Business Operational Risk Management (BORM) team as a Junior Data Analytics Analyst.
In this role, you will be working with our BORM Supervision and Conduct team, supporting our Commodities and Global Markets group across the globe. As primary support for our front office supervision and conduct programs, you will take ownership and accountability for developing reporting and analytic solutions and will play an essential role in tagging, organizing, evaluating and presenting data regarding conduct and MI related to supervision in the front office.
You will have the opportunity to support ad-hoc and project work utilizing PowerBI and Excel as well as communicate with internal business stakeholders to document requirements and extract data from our database using SQL queries. You will independently apply your superior problem-solving ability to identify meaningful insights that drive business growth. Further, you will own and drive continuous improvement in the data and analytics capabilities of the business channel.",3.8,"Macquarie Group Limited
3.8","Houston, TX",10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),0,0,60 - 110 ,60,110,85.0,TX,macquarie group limited,52,0,0,0,0,0,1,1,0,0,0
Entry Level- power BI/MS SQL/BA /Drug Safety/CDM,$60K - $110K (Employer est.),"VForce Infotech - constantly looking for IT Contractors on our W2 who work with our clients.
We are offering Entry level to Mid sr. positons and Training related to
Business Analyst (BA) All Domain.
Data Visualization Expert - Tableau Developer, Power BI Developer
RPA - Robotic Process Automation - Automation Anywhere.
MSSQL Developer - SSIS,SSRS,T-SQL.
Front End Developer Angular.
Pharma Validation
Drug Safety",-1.0,VForce InfoTech,"Edison, NJ",-1,-1,-1,-1,-1,-1,0,0,60 - 110 ,60,110,85.0,NJ,vforce infotech,-1,0,0,0,0,1,1,0,0,0,0
Sales Operations Data Analyst,$60K - $110K (Employer est.),"Google, Sunnyvale, CA - via Webhelp
About The Job
Are you interested in being part of a highly dynamic and successful team, supporting one of the fastest growing organizations within Google? We are looking for motivated and talented individuals to join our Google Cloud Data Analysis Team.
Responsibilities
Use SQL to make weekly forecasts and generate quarter performance metrics for business reviews
Maintain a strong focus on managing projects and programs on both an on-going and an ad-hoc basis, while working collaboratively across the global organization
Execute data and root cause analyses to identify opportunities for improvement of our workflow processes and data infrastructure",3.3,"Webhelp Americas
3.3","Sunnyvale, CA",10000+ Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),0,0,60 - 110 ,60,110,85.0,CA,webhelp americas,21,0,0,0,0,0,1,0,0,0,0
Marketing Data Analyst (Remote),$60K - $110K (Employer est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description
The Marketing Analytics team is responsible for helping drive the success of marketing efforts by providing meaningful insights, industry-leading measurement techniques, and access to the metrics, data, and tools needed for decision-making and optimization.
We partner with our peers in marketing, analytics, research, product, engineering, and finance through all stages of development: identifying initial opportunities, refining the user experience, analyzing the impact of our efforts, and highlighting improvement areas.",3.4,"Michael Page
3.4","Jersey City, NJ",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,0,0,60 - 110 ,60,110,85.0,NJ,michael page,-1,0,0,0,0,0,0,0,0,0,0
"Junior, Data Analyst",$60K - $110K (Employer est.),"MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.

Description

Data Analyst MUST be able to develop an in depth understanding of the internal data structure, for a wide-array of data sets such as securities, credit ratings, sector classifications, analytic, transactions, positions, etc. - all required to support a robust investment firm.

Email resume and a summary of your relevant experience to MadisonHaberl @ MichaelPage.US.com.",3.4,"Michael Page
3.4","New York, NY",201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,0,0,60 - 110 ,60,110,85.0,NY,michael page,-1,0,0,0,0,0,0,0,0,0,0
Data Management Analyst,$60K - $110K (Employer est.),"SUMMARY
Responsible for the data maintenance and management functions supporting the Office of Transit Research. Ensures that database systems and processes efficiently and effectively support business goals of the Authority. Responsible for the design, implementation, enhancement, and maintenance of reporting databases used for business intelligence, data analytics, and reporting. Leads technology projects and/or assignments for the Office. Ensures the accuracy, validity and integrity of the Office’s data. Tests and troubleshoots system issues and updates in conjunction with the Department of Technology and vendors. Researches, develops, and implements IT systems, processes, and reporting tools to improve the efficiency and cost effectiveness of the day-to-day operations. Supports special requests and/or projects for data collection, analysis and reporting.",2.9,"Metropolitan Atlanta Rapid Transit Authority (MARTA)
2.9","Atlanta, GA",1001 to 5000 Employees,-1,Company - Private,Transportation Management,Transportation & Logistics,$100 to $500 million (USD),0,0,60 - 110 ,60,110,85.0,GA,metropolitan atlanta rapid transit authority (marta),-1,0,0,0,0,0,0,0,0,0,0
Data Analyst Supporting the USPIS,$60K - $110K (Employer est.),"Be a part of the nationwide law enforcement initiative that removes the tools of crime from criminal organizations, depriving wrongdoers of proceeds from their crime and impacting the infrastructure of criminal enterprises.

Wits Solutions (WITS) has over ten years of experience in providing best-in-class solutions in professional IT and administrative consulting. At WITS, we believe in working not for our clients but with them. WITS has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the U.S. Postal Inspection Service (USPIS).

Responsibilities

Receives, gathers, analyzes, and organizes information from multiple sources.
Ensures completeness of received information and reconciles inconsistencies.
Requirements

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation

Agency Overview

As the primary law enforcement arm of the United States Postal Service, the U.S. Postal Inspection Service (USPIS) is a highly specialized, professional organization performing investigative and security functions essential to a stable and sound postal system. Its jurisdiction is defined as ""crimes that may adversely affect or fraudulently use the U.S. Mail, the postal system or postal employees."" The USPIS makes seizures under their authority to discourage profit-motivated crimes such as mail fraud, money laundering and drug trafficking using the mail.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",3.3,"FSA Federal
3.3","Washington, DC",1001 to 5000 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),0,0,60 - 110 ,60,110,85.0,DC,fsa federal,17,0,0,0,0,0,0,0,0,0,0
